Movie Name,Storyline
Murderous Intentions,Jason Keaton befriends and documents a serial killers obsession with murdering women. They both hope for fame by screening their film at the Cannes International Film Festival.
Only Child,"After the tragic death of her mother, young Care is abruptly placed under the care of her father, Randy who is down on his luck. Care must navigate a new life with a dad she never knew existed."
Quintessentially Irish,"A journey through Ireland's cultural heritage, exploring the origins of whiskey production, the world-famous Guinness brewery, age-old equestrian pursuits, traditional Gaelic athletics, and the enduring Dunsany Castle."
The Man You Don't Know,"The story of Donald Trump through intimate interviews with his family, friends, and colleagues, revealing a devoted patriot, a man of faith, and a generous leader who defies the media's portrayal."
Azotes de Barrio 2,
Lovers and Friends,"A devastating breakup leaves a struggling music artist unable to complete his much-anticipated second album. Desperate for inspiration, he enlists the help of his loving best friend to embark on a mission to find the perfect muse - the love of his life - in this music-driven romantic comedy."
Watch Your Back 2,
Ma famille chérie,"Estelle flees domestic violence to rejoin her mother prior to a family reunion. Together, they share emotions and memories."
Camp Blood: Clown Shark,"After being dispatched by a young woman with the special ability to see horrendous murders in her visions, the evil spirit of the Camp Blood Killer passes into that fiercest of aquatic predators, The Great White Shark. And when the killings begin anew, leaving law enforcement baffled, this courageous heroine must return to the woods of the infamous Camp Blood to face off again with a newly reincarnated killer before it's too late for everyone."
Hidden Flora,"Roxii, a queer hopeless romantic, just wants to be loved and treated the way boys do girls. A string of boys and men inform Roxii's view of sex and identity in late aughts Las Cruces, New Mexico."
Seraphim: The Motion Picture,"Amidst a racially charged and socially turbulent inner-city, an aspiring musician and a reformed street thug embark on a musical trek in attempt to requite their romance, all while confronting a deeply troubled past - and present."
Land of Broken Hearts,"Huang Zhenkai, who hastily ended a relationship, move out of his girlfriend's house and find another place to live. In this way, he met Li Xiaole, a young girl who was also drifting in the city, and began to share a roommate life with her."
Dieci minuti,Ten minutes a day can change the course of your day. Ten minutes doing something completely new can change the course of a life. This is what Bianca will discover in the midst of an existential crisis.
Satyashodhak,A biographical journey depicting the life of Mahatma Jyotirao Phule.
Bring on the Damned!,"Five tales of perversion, obsession, blasphemy, nihilism, and sadism."
Can i Die on Camera?,"The first and maybe last film by Mr.UR!N and Co. In this stunt and comedy film. You are watching a young man who loves to pay tribute to the stunt community. With cameos from Bam Margera, Chris Pontius and Co. With a running time of 60 minutes."
Ludzie,"Stories about the unintentional heroism that war forces people to do. A terrifying picture of the Russian invasion seen through the eyes of Ukrainian women who, in order to save themselves and their loved ones."
Triple 7: They Said It Couldn't Be Done,The Triple 7 Expedition is a 168-hour skydiving journey led by a team of former special operators and skydiving veterans. The expedition's goal is to break the record for seven skydives in seven days on seven continents.
Chaos und Stille,"Young musicians Jean and Helena brace for parenthood and job insecurities. Their landlord Klara has an enigmatic breakdown. Accepting her offer of rent-free living, they embark on a surreal journey, forming unexpected connections."
Dead Hand,Agent Eoghan Flynn must recruit Johnny Mai in order to take down an international terrorist on the verge of gaining nuclear power.
Thikana Bodle Jay,"After completing his masters, he is applying for jobs in various places but nothing is happening. Her family pressured Tandra to get married."
Tears for Tasha,"After a perilous confrontation with her stepfather, Tasha and her mother, Stacy, flee. During their escape, Stacy discloses a life-altering secret, and Tasha falls for a hustler embroiled in legal difficulties, endangering her own life."
The Battle for Laikipia,"Unresolved historical injustices and climate change raise the stakes in a generations-old conflict between Indigenous pastoralists and white landowners in Laikipia, Kenya, a wildlife conservation haven."
George Clooney: Leading Man,"Delve into George Clooney's multifaceted life, from his Hollywood rise to humanitarian endeavors. Intimate interviews unveil the legend's impact on film and society."
Holy Electricity,"Two cousins discover abandoned crosses in a Tbilisi scrapyard and transform them into neon art, leading to unexpected friendships as they sell their creations door-to-door across the Georgian capital."
Addy Daddy,A lonely young man introduces his new girlfriend to his parents and they immediately hate her for no reason.
Switched at Death,It follows a a self-centered computer analyst as he moves into the retirement home of his wife's grandmother and uncovers an enterprise forcing him to save his friends and marriage without dying.
The 6th,"In The 6th, attorney Marcus A. Coles (Ricky Burchell) uncovers a deadly police corruption ring while defending a falsely accused cop. With his life and career on the line, Marcus races to expose the truth where justice collides with danger"
Ucha Dar Babe Nanak Da,
Malik Salah,"In a comedic context, during his wedding, a stray bullet hits Malek's grandfather. He then decides to postpone his wedding and travel to Egypt to treat his grandfather. He goes through many unexpected situations. Will Malik be able to treat his grandfather and complete the wedding?"
Blow Out,A secret agent realizes the organization he works for has plans for him to be assassinated.
State of Silence,"Committed journalists in Mexico battle against narco-politics and systemic corruption, facing grave dangers and potential silencing for their vital work."
Uma and Haggen,"In a pre-Hispanic fantasy world, a Mesoamerican princess joins forces with a Viking boy. Despite being total opposites, they embark on a mission in which companionship and loyalty are the key to restoring harmony to both of their kingdoms."
No Hamburg No Beatles,Looks at the story of the Beatles before they were famous and how they learned their trade in the fleshpots of postwar Hamburg from 1960 to 1962.
"BanG Dream! It's MyGO!!!!!: Spring Sunshine, Lost Cat","Raana Kaname lives a carefree life, but she has a hard time fitting in with everyone else. Is she perhaps lost? Five lost girls connect with each other in the theatrical compilation of BanG Dream It's MyGO!!!!."
Drawn to You,"Chris, a thriving movie director at the peak of his career sets to film his latest blockbuster on an isolated island, for which he needs an unknown actor to play lead. His producer/partner for years suggests his god daughter, who's talented but fairly new to the game and this makes Chris very nervous. Sochimma, a beautiful and talented lady with a mysterious history and some family baggage has very little patience/tolerance for ""movie people"". However, she finds Chris' cool and very calm demeanor quite fascinating, he's unlike any man she's ever met before. Being in close proximity for a long period of time can lead to unexpected alliances and ""catching feelings"", but when love comes calling, so does deep dark secrets."
Creep Encounters,"When an unknown alien force threatens a high school, the teachers must team up, to fight back against the invaders, in an attempt to stop an otherworldly parasite from escaping, and taking over the world."
I'm Not Everything I Want to Be,Czech photographer seeks freedom after 1968 Prague Spring suppression. Undertakes long journey to break from repressive regime's constraints.
Don't F**k with Ghosts,"Filmmaking duo, Adam and Stu are convinced they need to capitalize on the next paranormal phenomenon, attempting to prove that ghosts are real."
Love in Disguise,"When a spirited young woman fakes a romance with her grumpy boss to stop family pressure, the ruse spirals into chaos-until love unexpectedly blooms. A heartwarming rom-com set entirely in Dubai."
Apple Thieves,A melancholic day set in the autumn of 2021 becomes a hazy adventure when broken hearts of two millennials meet. The heroes embark on a rampant and unforgettable night out - together.
Andhakaara,"Forced into a passenger's criminal web, a disabled taxi driver finds himself caught between a ruthless woman and the mobsters hunting her down."
Gangster's Daughter 3,"A woman's heart hardens after her home is burglarized, leading to an incredible transformation as she grapples with the traumatic experience."
Paradise: A Town of Sinners and Saints,A bluegrass musical comedy where good and evil fight for the soul of a dried up coal mining town.
The Inevitable Journey to Find a Wedding Dress,"Warda's frantic search for a wedding dress on the eve of the ceremony transforms into a journey of self-discovery, challenging her relationship with Cairo and her own identity."
A Smile Doesn't Lie,"Unemployed man Wisi travels to Bordeaux. He meets kindhearted Marina, pretending to be undocumented to stay with her. One night, he encounters Jérôme, recently homeless after his mother's death."
Fujimi Lovers,"When my feelings are conveyed, you will disappear. Still I fall in love, again and again..."
Mr. Santa: A Christmas Extravaganza,"Three music-loving teens clash with the popular kids as the Christmas show nears-until a surprise substitute teacher, Santa Claus, arrives to save the day in this festive, feel-good adventure."
Crispy,"A witty teen leads a group of his friends into the woods on an expedition to locate an allegedly lost ""treasure"" - despite the warnings of his telepathic sister - and soon the crew gets lost and is stalked by a cannibalistic killer."
Rock Bottom,"Through Robert Wyatt's music, the animated musical Rock Bottom plunges into the passionate self-destructive love story of Bob and Alif, two young artists immersed in the creative whirlwind of the early 70s' hippie culture."
Porch Pirates,"A trio of detectives race to catch a mischievous gang of porch pirates and recover the Mayor's prized Beanie Baby, all while juggling their own holiday chaos."
Ho visto un re,"In the fascist era, Emilio's father captures an African prince. To the child it seems like a great adventure."
Colibrí,"When a young Colombian couple is faced with a major change in their lives, each one will go on a personal journey to right the wrongs of the past in order to build a stronger future."
Jacqueline Novak: Get on Your Knees,"Comedian Jacqueline Novak delivers a funny and philosophical meditation on sex, coming-of-age and a certain body part in this intimate stand-up special."
Over Easy,Two women go on a weekend trip to reconnect and salvage their relationship.
New Year's Absolution,"A group of long-time friends gather for their annual New Year's Eve party, where they exchange anonymous resolutions that have brought excitement and change to their lives in the past. However, this year, a dark resolution - ""Kill Someone"" - creates chaos when it falls into the hands of a stressed police officer named Jacob who believes it's a threat against him. A series of tragic events unfold, leading to accidental deaths, cover-ups, and escalating tensions among the friends. As the secrets unravel and more deaths occur, the group descends into a chaotic and bloody night, leaving only two survivors. In a desperate bid to save himself, one friend, Roy, is forced to make a chilling decision to secure his own future. The film explores themes of trust, loyalty, and the extreme lengths people may go to when faced with unexpected and deadly circumstances on what was meant to be a night of celebration."
The Hobby,"Follows longtime collectors and a new generation of buyers from the trading card industry, diving deep into the real-time trading card fever as the hobby goes nuclear.."
Cedric & Alysia,"Following his return to a homeland ravaged by war, Cedric Vale offers his services as Knight-Protector to the Baron of Pres, only to learn shortly after that the Baron has married the woman he loves, Lady Alysia."
"Rajagunj: Pooja, Sir","When two boys are kidnapped in a border town in Nepal, Detective Inspector Pooja is sent from Kathmandu to solve the case. But when she arrives, the brewing political unrest and violent protests throw her off course, and she is forced to seek help from Mamata, a local Madhesi policewoman. By putting aside systemic discrimination and pushing through everyday misogyny, the women solve the case - but at what personal cost? Inspired by real events which took place in Southern Nepal during the 2015 race protests."
Do I Know You from Somewhere?,"A couple's life gradually unravels as their shared memories and experiences start disappearing, leaving them questioning the very foundation of their relationship."
Maryade Prashne,"Suri, Manja, and Sathish, three friends from Chamrajpete, Bengaluru, face a tragic incident during a birthday celebration that alters their lives, leading them on a journey of friendship, loyalty, and seeking justice for their loved one."
Soul's Peak,"In Pernambuco, a jewel robbery brings together an old group of misfit friends, with catastrophic results. Watched over by ghosts from the past, each of them will have to find their own way to freedom."
Ghost Flight,"On a routine transatlantic 'Ghost Flight' between London and New Orleans, a deal to smuggle a mysterious cargo will have dire affects for the crew on board."
Askepote,"In 2024's big Norwegian Christmas film, Cinderella turns fairyland on its head when she refuses to marry a lame prince just because the shoe happens to fit."
Lineman,"In Chandakavadi village, Nata, a lineman, refuses to provide power for a celebration honoring midwife Shardamma's 100th birthday."
Screams Before Silence,"The documentary interviews survivors, first responders about the 2023 Hamas attack in Israel, highlighting reported sexual violence cases during the incident, presenting factual accounts without opinions."
The Reality of Time,"The Reality of Time takes viewers on an immersive journey through the mysteries of time, from the Big Bang to modern physics, ancient philosophy, and myth."
Semilla del Desierto,"Caviche and Chelina, are desperate with their unwanted pregnancy and her father's threats. In order to fund an abortion, they become kamikaze gasoline smugglers in the Caravan of Death, ignoring the dangers that the desert has for them."
John Williams in Tokyo,"In September 2023, 30 years after his last visit to Japan, John Williams returned for a special concert, making his debut with the world-famous Saito Kinen Orchestra, reuniting with his friend Seiji Ozawa at Suntory Hall."
The Uncivil War: America Divided,"In the year 2020, in a country that seemed to hate itself, what chance did two childhood friends, one white and one black, from opposite sides of the political spectrum stand at remaining friends? What chance did any of us have?"
Amaltash,Rahul is a composed musician in an old city. A delightful serendipity smiles on him when he meets a warm and spontaneous girl Keerthi who is intrigued with Rahul's music.
Underdog: The Andy Swallow Story,One of the most important street culture influencers that you've never heard of.
What Happens in Miami,Spring break becomes trouble in paradise for a group of best friends when one of their own goes missing and they are the prime suspects.
Bhavanam: The Haunted House,
Norbert,"Norbert an incompetent spy from a sad, bureaucratic and grey nation will become a key player to thwart the plans of his own government, in an exciting quest that will see him travel alongside strange companions."
The Temp,"When an attorney's trusted secretary goes on maternity leave, he turns to a temp agency for a replacement. Enter Erica, a mysterious and captivating woman whose arrival brings a deadly turn to the attorney and his wife."
Wannabe,"An actress preparing to return to acting after a long hiatus, who gets caught up in an unexpected incident and heads straight towards catastrophe."
Noaptea lui Vlad,"Vlad, a museographer's son, meets a living Alexandru Cuza in a gallery of Romanian heroes. Together they visit historical figures like Saint Andrew and Vlad the Impaler at pivotal moments in their lives."
ElemenTory,"Following the disappearance of their son, a couple joins other parents whose children have gone missing from school. Frustrated by the lack of progress they take control of the school looking for answers."
The Bigfoot Prophecy,The Bigfoot prophecy a thought provoking movie on the elusive Bigfoot and his ability as a spirit animal to prophecy man's future.
It's Ok,An intimate look inside the life of Lebanese superstar Elissa as she prepares to drop her first independent album and reflects on her path to stardom.
Jahangir National University,"Sourabh, a JNU student, opposes anti-national left-wing activities. Guided by Akhilesh Pathak, he finds his partner Richa. Facing challenges from the left, Sourabh and the right-wing gain prominence when he wins a pivotal JNU election."
Plea,"After 20 years in prison, a man wrongfully convicted of rape and murder is released. He reconnects with his now adult daughter and tries to rebuild his life. The victim's husband has become a recluse, obsessed with a true crime documentary about the case, and tries to contact law enforcement to reopen the investigation, but they consider it closed. Then the prosecutor is kidnapped in a desperate attempt to convince her to find the real killer."
Bury Him,"After his controversial acquittal for murder, Michael Kenny must lay low. This becomes difficult after accidentally killing a man with his car."
Oscar Wilde About America,Oscar Wilde retraces his 1882 American tour as a present day cross-country roadtrip.
Pathological: The Lies of Joran van der Sloot,Delves into Joran van der Sloot's lifelong pattern of violence and pathological lying through rare interviews and new insights years after he brutally murdered American Natalee Holloway and Peruvian Stephany Flores.
"Mon Laferte, te amo","In this intimate documentary, artist and singer Mon Laferte recounts her life as she navigates a global tour, motherhood and her deepest wounds."
Who's Watching Us,"When Ruth is hired to babysit for the Harris family, her and the kids find out that someone else is watching them closely. Ruth and Jasmine has to fight to protect themselves and her little brother Micah."
For the One,"FOR THE ONE journeys through the stories that gave flight to the Summer Worship Nights tour. A celebration of music, vision, and community, FOR THE ONE weaves the passion of Brandon Lake and Phil Wickham into a memorable cinematic event."
Cicada,"A ruthless man ventures into the unforgiving jungle, where he learns a brutal lesson: the only acceptable hunt is for survival, as any other pursuit makes him the prey."
Samaya,
The Mountain Within Me,"When faced with life changing injuries, Ed Jackson harnessed the power of positivity and determination to deliver a future for himself, that most thought impossible."
Farmer's Bride,"In 1980s Ibadan, a wealthy, lonely farmer seeks solace in marriage with a young bride, Funmi. However, their union is fraught with challenges as Funmi struggles to find happiness and eventually embarks on a forbidden affair."
Blades of Grass,"Five tales, set within the confines of a hotel room, are connected by the vestiges of the room's past tenants."
Sheeps Clothing,A man suffering from a traumatic brain injury is coerced by his pastor to help cover up a murder in their church.
La Casa Azul,
Jerry,"Revolves around the lives of two families, where a mouse creates infinite chaos."
Trapped in Lust,
Peter Rabid,Will any of the former school pals survive? Will anything remain of them after Peter Rabid and his insane sister Bedelia lure them to a secluded country home and start killing them one by one? A sinister cult is controlling the killers.
Lunar Lockdown,
Riki Rhino: The Bird Kingdom,"A fun, family adventure that follows a brave rhino named Riki and his duck friend Beni as they journey through tropical jungles to find a magic seed that will help save their home from a foreseen tsunami."
Babe Mansion,"Two friends housesitting a mansion throw a party to attract their dream girls, but an unexpected horrific event makes the weekend unforgettable."
Nudus,"Laura awakens from a coma in a stark white room, where she is questioned about her social media activity. As she recalls her pregnancy, she must confront terrifying apparitions and fight to save her baby."
Antha Naal,"A film director, his assistants and the cook go for a story discussion in a palatial bungalow. There, they discover footage of a family trapped by an unidentified ""maskman."""
Between Goodbyes,"When a queer Korean adoptee visits her original mother in Seoul, long-held regrets and cultural misunderstandings come to the surface alongside tenderness, humor, and tenacity."
Gone with the Dead,The west coast is plunged into chaos when a mysterious virus turns people into flesh-eating zombies. Two different groups of survivors must band together and fight to stay alive or be Gone...with the Dead.
Hyde Out,"After a failed heist, 3 criminals hide in a married couple's home. As police close in, secrets emerge, and wife Emily must face her past while trying to survive the night."
Snakeeater,An unstable private investigator suddenly awakens on a subway train to find himself plunging deeper and deeper into a nightmare...that may very well be of his own making.
Paper Marriage,"A desperate Chinese immigrant and a wayward American strike a marriage pact, navigating around each other to grow a connection for a green card."
My Dad's Tapes,"After finding his late father's home videos, Kurtis Watson investigates his dad's 2006 disappearance and death, bringing his family together to confront mental health stigma and unresolved questions."
Dreambreaker: A Pickleball Story,"Pickleball, America's fastest-growing sport, boasts a roster of 37 million players nationwide, creating a multi-million-dollar craze that has celebrity investors and Wall Street jumping over the net."
Big Ben,"Lovely and Jean Antony, living in separate countries, face a legal crisis when Jean visits Lovely in London with their 1.5 year daughter. Despite their unfamiliarity with local laws, will they overcome the challenges and reunite?"
Hong lou meng,"Through the fate and tragic love story of a young boy and two young girls, we witness the rise and fall of four richest families in 18 century China."
Yolki 11,"Uncle Yura, serves as a security guard in an elite village, raises a mini-pig Kostya and does not like New Year at all."
Sinhabahu,"The movie is based on the legend of King Sinhabahu, the son of a lion and a royal princess Suppa Devi."
Jane Eyre,
Sangharshana,"A series of sequel murders points the police to innocent Chaitanya as their main suspect. However, as the investigation unfolds, shocking twists reveal the truth behind the killings."
Ek Kori Prem Katha,"Sabhyata, who falls in love with the village pradhaan's son, must decide how she will fight the ceremonial ritual of Kori in order to have a happy and respectful married life."
Mia,"When a sheltered 17-year-old girl crosses paths with a mentally-disturbed drifter, they embark on a heartrending journey of loss and discovery."
Nelma Kodama: The Queen of Dirty Money,"After leaving prison, money changer Nelma Kodama tells how she got involved in one of the biggest corruption scandals in Brazil."
Therapy,
American Prom,"American Prom brings spirituality into the center of a modern day coming of age story. Trinity enters high school and finds herself mixed up with the ""in-crowd"" tempted by popularity, parties and peer pressure. As prom approaches and temptation grows, Trinity must decide her path."
Pontonovo srce,"Grumpy mechanic falls for famous actress. While trying to fix her car, he's forced to confront his childhood rival to obtain needed parts, pushing him far outside his comfort zone."
Meninas Não Choram,A soccer player girl with leukemia inspires her classmates to find a bone marrow donor while maintaining her love for life and the sport.
Shadowland,"Leave your troubled past behind and get a fresh start in the hidden enclave nestled in the French Pyrenees, where magic and witchcraft are woven into daily life. This remote region attracts a motley crew of people - including priestess Anaiya, sorcerer Uranie and chaos magician Iranon - who eschew modernity and try to transform from their former troubled personae, embracing the local occult-tinged faith. Former Hollywood filmmaker Richard Stanley finds himself in the region, too, after losing everything in the film industry, self-manifesting as a spiritual leader in the community. When shocking allegations of Stanley's past domestic abuse are brought into light, his local admirers must confront the true nature of their beloved chosen home. Is the region truly transformative or have they been ruthlessly manipulated by a false prophet?"
That Person Has Disappeared,"Set in an apartment building where many people are rumored to disappear one after another, the story begins when Maruko, a young delivery worker, accidentally discovers the secret of a suspicious resident."
Hyper: The Stevie Hyper D Story,"Darrell Austin, Stevie Hyper D's nephew, embarks on a journey through 90s London to explore his uncle's legacy. Through conversations with family, friends, and artists Stevie inspired, he pieces together the full story."
Hole,"Kevin and Mia are con artists, who seduce and rob wealthy women. Their robbery of the wealthy seductress Emma goes awry. In a remote forest, Emma wakes up and flees. They set out to hunt her down. A game of cat and mouse begins."
Pizza Boy Rick,Rick's pizza delivery job takes a wild turn when he stumbles upon a dying man who tasks him to race across town before midnight to uncover a twisted game.
The House From...,"Examining lives of owners of famous houses from TV/movies, exploring interactions with fans, unexpected fame, and how mass nostalgia impacts personal spaces."
Lord of Wolves,Nic Cross inherits a mysterious pyramid after his housemate's death. It summons a wolf-cult from London's underbelly. Nic teams up with strangers to defeat the wolf Lord before they're transformed into beasts.
The Hotel of My Dream,"Kayoko Nakashima is a rookie novelist who won a new writer's award. Due to harsh criticism from well-respected writer Munenori Higashijuujo, Kayoko was unable to have a spectacular debut or have her novel published. She decides to take revenge on Munenori. Kayoko stays at the Hilltop Hotel in Tokyo and learns that Munenori is staying on the floor above her room. With the help of editor Michio Endo, who was her senior during their university days, she interrupts Munenori's writing and succeeds in making him miss his deadline. However, Kayoko's actions leads to further misfortune and hardship for herself. The fate of Kayoko and Munenori progresses in a direction that no one could have predicted."
Athens Midnight Radio,"A veteran late-night radio announcer has a show on the night he turns fifty. Realizing with embarrassment that he is no longer one of the young, he unravels his life and searches for an unrequited love."
Jeevan,"Life gifted everything to Jeevan, a successful IT professional, love, friendship, luxuries...anything one could ask for.. But fate had a different plan for him."
Inherit the Witch,"In 1984 a family throws a 14th-birthday party. 30 years later, they re-unite at two isolated houses in a forest, where horrific truths are uncovered about the family's occult pact with an ancient evil that's enabled their wealth and power."
Cândido,"A national coach working in Lisbon during World War II also acted as a spy for the Allies, leading a risky double life"
Sisterhood,"As little girls, twin sisters Rianne and Juliette were inseparable, but now that they're adults, they couldn't be more different. Rianne takes care of her sick father and his snack bar at home in Rotterdam, while Juliette leads an unfettered life of luxury in Amsterdam. And where Rianne's passion for collecting is getting more and more out of hand, Juliette is successful as a professional organizer. When father Cor dies, they both do not trust the other to properly carry out his last wish to scatter his ashes on the Spanish coast. The sisters who have grown apart are forced to go on a road trip together."
Our Church Thinks We're Dating,A pastor's daughter pretends to date her best friend-just as he meets his dream girl. Will it doom their friendship or bloom into romance?
The Iron Cowboy: Conquer 100,One man's journey to test his limits as he embarks on 100 Iron Man distance triathlons in 100 consecutive days and inspires countless people along the way.
Future Date,"In the distant future where the outside climate is unlivable and everyone is forced to spend their lives alone in tiny rooms, two people win the rare opportunity to go on a very unusual date - in person."
Screams from the Tower,"Screams From the Tower is a gay, coming-of-age comedy that follows Julien, his best friend Cary, and their outcast friends through high school in the early 90s. Julien and Cary's dream of having their own show on the high school radio station is finally realized, bringing them a popularity and infamy they never imagined."
Are You Dead Yet?,"When a group of thrill seekers venture into supposedly haunted woods, they must fight to survive against a maniac with a mallet and a taste for blood."
Easter Bloody Easter,A woman must protect her small town from the Jackalope and his army of devilish bunnies as they embark on a murder spree over the Easter weekend.
Heidi,"HEIDI is the story of an orphaned Swiss girl who is brought to live with her angry Grandfather high up on an Alpine mountain. Heidi's innocent charms and love transform all who know her. But when Heidi is taken from her precious mountain home to live in the city, she must learn to trust God's plan, and to never give up hope that He will make all things right in the end. Award-winning Director Lynn Moody is joined by a talented cast in creating a breathtaking film that will warm the heart. Those who've not read the original novel won't know what a cherished Christian classic HEIDI is until they see this faithful adaptation of Johanna Spyri's beloved story."
Future Me,In this electrifying journey filmmaker Vincent Boy Kars makes himself the plaything of his own film and is confronted with deep seated fears and desires. Can he free himself from his past and become the person he wants to be in the future?
December 31st Express,"December 31st Express was supposed to be an ordinary, quiet rail run, at least that's what conductor Mykola Ivanovych thought, but fate had other plans for this."
Navras Katha Collage,"Nine soul-stirring tales depicting varied human emotions through one actor's tour-de-force performance. From joy to anger, this anthology immerses viewers in relatable situations that mirror life's kaleidoscope."
The Search for Volcano Island,"Five friends journey by boat into Alaska's remote Aleutian Islands, chasing rumors of perfect waves. Directed by Ben Weiland and Brian Davis, this cold-water surf adventure delivers stunning visuals and raw, remote exploration."
Ship Life,"Cruise ships house thousands of crew members from diverse backgrounds, living and working together at sea for extended periods."
When Love Strikes,A promising young footballer must choose between following his dreams of soccer success and returning to college in order to support his family.
Tummy Tom: A New Friend for Tummy Tom,"On a winter's day, Dikkie Dik and Poes Muis discover something new: snow! But there is also a new neighbour; a big, noisy dog called Blaf. Brr, the cats don't like that!"
Six Guns for Hire,"A vicious group of strangers gather to divvy up the spoils of a train robbery, while an ace detective pursues hot on their trail. As the bandits realize they may not be strangers after all, the detective unearths a deadly conspiracy at the heart of their crime."
Langoti Man,"Teertha Kumar belongs to an orthodox purohit family with a strict grandfather. While rituals are mandatory that men must also wear langoti,."
Felicia Madison: Better Than Sex,"Felicia's life experiences: childhood, marriage, parenthood, and depression. She discovers her true passion for performing standup comedy."
In the Name of God,"A priest gains popularity after his wife miraculously survives a deadly illness. But when the authenticity of the miracle is questioned, he has to prove it was God's power that saved her, which plunges him into the depths of the occult."
Trivial,"Five strangers are forced to play an online game show by an unhinged hostess. Get the answers right, they move to the next level. Get the answers wrong, it's lights out. But the reason they're selected is as shocking as the game itself."
The Goat,"In 2002, a group of friends stumble into the domain of an ancient evil, and little do they know, that evil has assimilated...someone doesn't belong."
Looking for Simone,"Chronicling Simone de Beauvoir's journey writing the groundbreaking feminist text ""The Second Sex,"" this film links her pioneering ideas to modern women's struggles."
Savrulan Zaman,"After coming out of a long relationship, Alper is searching for a fresh start but finds himself in a moral conflict following an unexpected incident at work."
O Melhor dos Mundos,"Lisbon, 2027. Marta and Miguel are both researchers that are part of a scientific group and a couple in their private lives. Their relationship will be put to the test on one decisive night when the parameters that Marta is analyzing point to the very high probability of a major earthquake hitting Lisbon. The group splits, debating whether or not to warn the population of the possible impending tragedy."
Forty-Seven Days with Jesus,A disconnected family finds hope and unity through a cinematic retelling of Jesus' final 47 days on Earth.
Inazuma Eleven Movie: The Legendary Kickoff,"A passionate junior high goalkeeper and his underdog soccer team fight their way through regional qualifiers with help from a star striker. After recruiting a strategic genius, they reach nationals to face their toughest opponent yet."
Timuchin,"A young and ambitious guy from the village comes to the city to fulfill his dream and enter the Academy of the Ministry of Internal Affairs. His desire to become a policeman is known to everyone around him. However, in the area where his uncle lives, there is a criminal group that controls ruthless gangs, and when he enters the academy, he meets his love. Now he has to not only prepare for exams, but also enter into a confrontation with bandits in order to protect his loved ones and his future."
Sarkaaru Noukari,"In the year 1996, the entire nation was politically facing a serious issue. In addition, the country was suffering from another dangerous problem. In this scenario, a Government Employee took up the responsibility."
From Russia with Lev,"A documentary exploring Lev Parnas' involvement in the Trump-Ukraine scandal that resulted in the former president's impeachment, detailing Parnas' unexpected entanglement with Trump and Giuliani, leading to his incarceration."
Demetri Martin: Demetri Deconstructed,"From his thoughts on aggressively scented trash bags to desk jobs in hell, Demetri Martin returns with a new stand-up special."
Ilana Glazer: Human Magic,"Explores Ilana Glazer's high school experiences, tackling life's realities, and her journey as an unconventional mother who uses marijuana."
De Jacht op Meral Ö.,"Meral Özturk faces financial crisis when Dutch Tax Authority wrongly demands repayment of childcare benefits. She discovers a social investigator invading her life, leading her to take drastic measures to safeguard her daughters."
Gym,"There is always one bully in our inner circle, often a misogynistic one."
Madame Ida,"Pregnant fifteen-year-old orphan Cecilia is sent to Ida's secluded mansion to hide pregnancy. Ida and maid Alma provide Cecilia maternal care, forming bond. Their relationship tested as Cecilia's childbirth nears."
Detective Conan vs. Kid the Phantom Thief,"High school student Kuroha Kaido discovers his late father's secret life as the Phantom Thief Kid, inherits his costume, and embarks on a quest to uncover the mysterious organization behind his father's murder."
The Dakota War: Chase,"After ""Uprising"" and the Fort Ridgely attack, Col. Sibley forms a military court to try captured Dakota warriors. Lt. Olin and commissioners lead the Army's quest for retribution."
Tri bogatyrya. Ni dnya bez podviga,"The heroes will accomplish many feats: they will revive the unfortunate Koshchey, find the missing crown of the Prince, deal with the cruel khan - they can do everything. They can even cope with evil spirits. The horse Julius, the Serpent Gorynych and many others are always ready to come to the aid of the three heroes."
Tragic,25 years later 3 stars from the 1980's try not to fade away as events from their past may interfere with their comeback.
The Night Curse of Reatrei,"After Pol Pot regime, 1993, they moved into an abandoned orphanage. They realized that the whole building was cursed by a vengeful spirit, Reatrei. Tragedies start to happen one after another until they find what her curse wants."
Malice,"A company of six people decides to go to a hut in the forest, but soon real evil joins them, and now the company will have to try hard to survive."
Bozji gnjev,"Ilija is a member of the Croatian Defence Council (HVO) somewhere in Central Bosnia in late 1993. One morning, after a routine mine laying campaign, he learns his younger brother Goran was killed far beyond enemy lines, together with eight other soldiers. Through a friend from the secret service, he finds out the mission was an unofficial one and that Goran and the others were acting as mercenaries. Ilija begins to expose a network of illegal activity involving not only the military, but high-ranking officials. As the investigation becomes more dangerous, his original intention to find out the truth slowly turns into a pathological mission of vengeance."
A Little Family Drama,"A Mexican American family, whose lives revolve around their legendary restaurant, prepares for their annual family reunion dinner oblivious to the fact that a shattered taco truck dream is about to change everything."
Mord,"Karel and his family gather yearly for a pig-killing tradition, where amidst celebrations, underlying tensions and secrets surface, leading to a chaotic event that forces Karel to confront harsh realities."
This Land of Mine,"When a small group of people get stranded on an uncharted land, they are forced to journey deeper to find a way out. However, they stumble upon a beast that has predated mankind."
